date,start_time,visitor,visitor_pts,home,home_pts,link,ot,attendance,notes
2000-11-16,9:00 pm,Chicago Bulls,85,Denver Nuggets,89,Box Score,,10150,
2000-11-16,8:30 pm,Charlotte Hornets,80,Houston Rockets,84,Box Score,,11028,
2000-11-16,8:00 pm,Los Angeles Lakers,112,Sacramento Kings,110,Box Score,OT,17317,
2000-11-16,7:00 pm,Portland Trail Blazers,86,Toronto Raptors,80,Box Score,,19800,
2000-11-16,9:00 pm,Orlando Magic,84,Utah Jazz,99,Box Score,,18851,
2000-11-16,10:00 pm,Los Angeles Clippers,76,Vancouver Grizzlies,72,Box Score,,12210,
2000-11-16,7:00 pm,San Antonio Spurs,99,Washington Wizards,95,Box Score,,19832,
2000-11-17,7:30 pm,Atlanta Hawks,99,Boston Celtics,106,Box Score,,13815,
2000-11-17,7:30 pm,Detroit Pistons,96,Charlotte Hornets,89,Box Score,,14771,
2000-11-17,7:00 pm,Golden State Warriors,92,Indiana Pacers,90,Box Score,,17101,
2000-11-17,8:30 pm,Cleveland Cavaliers,76,Milwaukee Bucks,89,Box Score,,13874,
2000-11-17,8:00 pm,San Antonio Spurs,94,Minnesota Timberwolves,99,Box Score,OT,17288,
2000-11-17,7:00 pm,Miami Heat,73,Philadelphia 76ers,94,Box Score,,20720,
2000-11-17,9:00 pm,New York Knicks,90,Phoenix Suns,85,Box Score,,18738,
2000-11-17,10:00 pm,Dallas Mavericks,99,Seattle SuperSonics,95,Box Score,,12285,
2000-11-18,7:30 pm,Minnesota Timberwolves,94,Atlanta Hawks,84,Box Score,,13036,
2000-11-18,9:00 pm,Los Angeles Lakers,86,Denver Nuggets,87,Box Score,,19513,
2000-11-18,8:30 pm,Phoenix Suns,89,Houston Rockets,94,Box Score,,12694,
2000-11-18,10:30 pm,Seattle SuperSonics,86,Los Angeles Clippers,83,Box Score,,12271,
2000-11-18,7:30 pm,Portland Trail Blazers,80,Miami Heat,86,Box Score,,16500,
2000-11-18,8:00 pm,Indiana Pacers,92,New Jersey Nets,97,Box Score,,12465,
2000-11-18,7:00 pm,Milwaukee Bucks,102,Toronto Raptors,111,Box Score,,19800,
2000-11-18,9:00 pm,Chicago Bulls,64,Utah Jazz,109,Box Score,,17839,
2000-11-18,10:00 pm,Dallas Mavericks,91,Vancouver Grizzlies,88,Box Score,,13301,
2000-11-18,7:00 pm,Boston Celtics,89,Washington Wizards,109,Box Score,,19290,
2000-11-19,7:00 pm,Charlotte Hornets,105,Detroit Pistons,96,Box Score,,13088,
2000-11-19,9:30 pm,Chicago Bulls,96,Los Angeles Lakers,104,Box Score,,18997,
2000-11-19,8:00 pm,Golden State Warriors,71,New York Knicks,88,Box Score,,19763,
2000-11-19,6:00 pm,Portland Trail Blazers,110,Orlando Magic,102,Box Score,OT,14524,
2000-11-20,7:00 pm,Philadelphia 76ers,114,Boston Celtics,90,Box Score,,15209,
2000-11-20,10:30 pm,New Jersey Nets,86,Los Angeles Clippers,85,Box Score,,9803,
2000-11-20,7:00 pm,Charlotte Hornets,100,Toronto Raptors,64,Box Score,,17767,
2000-11-20,9:00 pm,Dallas Mavericks,107,Utah Jazz,98,Box Score,,18869,
2000-11-20,10:00 pm,Denver Nuggets,95,Vancouver Grizzlies,92,Box Score,,11809,
2000-11-21,7:30 pm,Detroit Pistons,98,Cleveland Cavaliers,117,Box Score,,12683,
2000-11-21,8:00 pm,Seattle SuperSonics,116,Dallas Mavericks,110,Box Score,,15100,
2000-11-21,10:30 pm,Chicago Bulls,77,Golden State Warriors,89,Box Score,,11263,
2000-11-21,7:00 pm,Houston Rockets,101,Indiana Pacers,89,Box Score,,16611,
2000-11-21,8:00 pm,New York Knicks,85,Orlando Magic,84,Box Score,,14673,
2000-11-21,7:00 pm,Portland Trail Blazers,104,Washington Wizards,94,Box Score,,14113,
2000-11-22,7:30 pm,New York Knicks,74,Atlanta Hawks,78,Box Score,,12007,
2000-11-22,7:00 pm,Houston Rockets,81,Boston Celtics,96,Box Score,,13003,
2000-11-22,7:30 pm,Philadelphia 76ers,73,Charlotte Hornets,88,Box Score,,15306,
2000-11-22,10:30 pm,Golden State Warriors,91,Los Angeles Lakers,111,Box Score,,18208,
2000-11-22,7:30 pm,Cleveland Cavaliers,86,Miami Heat,67,Box Score,,14755,
2000-11-22,8:00 pm,Portland Trail Blazers,93,Milwaukee Bucks,84,Box Score,,15008,
2000-11-22,8:00 pm,Vancouver Grizzlies,100,Minnesota Timberwolves,101,Box Score,,16783,
2000-11-22,9:00 pm,New Jersey Nets,85,Phoenix Suns,97,Box Score,,17239,
2000-11-22,10:30 pm,Chicago Bulls,71,Sacramento Kings,100,Box Score,,17317,
2000-11-22,8:30 pm,Seattle SuperSonics,85,San Antonio Spurs,112,Box Score,,22828,
2000-11-22,9:00 pm,Denver Nuggets,78,Utah Jazz,116,Box Score,,18664,
2000-11-23,8:00 pm,Toronto Raptors,111,Indiana Pacers,91,Box Score,,18345,
2000-11-24,7:30 pm,Philadelphia 76ers,76,Atlanta Hawks,67,Box Score,,17601,
2000-11-24,7:30 pm,Orlando Magic,98,Boston Celtics,103,Box Score,OT,16696,
